kuangdeng,#genre#
CCTV 1,http://pa.kuangdeng.top:8081/hls/1/index.m3u8
CCTV 2,http://pa.kuangdeng.top:8081/hls/2/index.m3u8
CCTV 3,http://pa.kuangdeng.top:8081/hls/3/index.m3u8
CCTV 4,http://pa.kuangdeng.top:8081/hls/4/index.m3u8
CCTV 5,http://pa.kuangdeng.top:8081/hls/5/index.m3u8
CCTV 5+,http://pa.kuangdeng.top:8081/hls/34/index.m3u8
CCTV 6,http://pa.kuangdeng.top:8081/hls/6/index.m3u8
CCTV 7,http://pa.kuangdeng.top:8081/hls/7/index.m3u8
CCTV 8,http://pa.kuangdeng.top:8081/hls/8/index.m3u8
CCTV 9,http://pa.kuangdeng.top:8081/hls/9/index.m3u8
CCTV 10,http://pa.kuangdeng.top:8081/hls/10/index.m3u8
CCTV 11,http://pa.kuangdeng.top:8081/hls/11/index.m3u8
CCTV 12,http://pa.kuangdeng.top:8081/hls/12/index.m3u8
CCTV 13,http://pa.kuangdeng.top:8081/hls/13/index.m3u8
CCTV 14,http://pa.kuangdeng.top:8081/hls/14/index.m3u8
CCTV 15,http://pa.kuangdeng.top:8081/hls/15/index.m3u8
CGTN,http://pa.kuangdeng.top:8081/hls/70/index.m3u8
广东4K超高清,http://pa.kuangdeng.top:8081/hls/49/index.m3u8
广东IPTV影视推荐,http://pa.kuangdeng.top:8081/hls/62/index.m3u8
广东体育,http://pa.kuangdeng.top:8081/hls/68/index.m3u8
广东少儿,http://pa.kuangdeng.top:8081/hls/73/index.m3u8
广东影视,http://pa.kuangdeng.top:8081/hls/75/index.m3u8
广东新闻,http://pa.kuangdeng.top:8081/hls/71/index.m3u8
广东民生,http://pa.kuangdeng.top:8081/hls/63/index.m3u8
广东珠江,http://pa.kuangdeng.top:8081/hls/33/index.m3u8
广东经济科教,http://pa.kuangdeng.top:8081/hls/74/index.m3u8
广东卫视,http://pa.kuangdeng.top:8081/hls/17/index.m3u8
深圳卫视,http://pa.kuangdeng.top:8081/hls/21/index.m3u8
广西卫视,http://pa.kuangdeng.top:8081/hls/28/index.m3u8
海南卫视,http://pa.kuangdeng.top:8081/hls/41/index.m3u8#http://pa.kuangdeng.top:8081/hls/16/index.m3u8
三沙卫视,http://pa.kuangdeng.top:8081/hls/37/index.m3u8
东南卫视,http://pa.kuangdeng.top:8081/hls/48/index.m3u8
厦门卫视,http://pa.kuangdeng.top:8081/hls/36/index.m3u8
东方卫视,http://pa.kuangdeng.top:8081/hls/26/index.m3u8
浙江卫视,http://pa.kuangdeng.top:8081/hls/18/index.m3u8
安徽卫视,http://pa.kuangdeng.top:8081/hls/35/index.m3u8
江苏卫视,http://pa.kuangdeng.top:8081/hls/19/index.m3u8
江西卫视,http://pa.kuangdeng.top:8081/hls/30/index.m3u8
北京卫视,http://pa.kuangdeng.top:8081/hls/20/index.m3u8
天津卫视,http://pa.kuangdeng.top:8081/hls/25/index.m3u8
山东卫视,http://pa.kuangdeng.top:8081/hls/23/index.m3u8
山西卫视,http://pa.kuangdeng.top:8081/hls/44/index.m3u8
吉林卫视,http://pa.kuangdeng.top:8081/hls/31/index.m3u8
重庆卫视,http://pa.kuangdeng.top:8081/hls/47/index.m3u8
四川卫视,http://pa.kuangdeng.top:8081/hls/32/index.m3u8
云南卫视,http://pa.kuangdeng.top:8081/hls/46/index.m3u8
贵州卫视,http://pa.kuangdeng.top:8081/hls/39/index.m3u8
宁夏卫视,http://pa.kuangdeng.top:8081/hls/42/index.m3u8
河北卫视,http://pa.kuangdeng.top:8081/hls/29/index.m3u8
河南卫视,http://pa.kuangdeng.top:8081/hls/40/index.m3u8
湖北卫视,http://pa.kuangdeng.top:8081/hls/24/index.m3u8
甘肃卫视,http://pa.kuangdeng.top:8081/hls/38/index.m3u8
辽宁卫视,http://pa.kuangdeng.top:8081/hls/27/index.m3u8
陕西卫视,http://pa.kuangdeng.top:8081/hls/45/index.m3u8
青海卫视,http://pa.kuangdeng.top:8081/hls/43/index.m3u8
黑龙江卫视,http://pa.kuangdeng.top:8081/hls/22/index.m3u8
北京少儿,http://pa.kuangdeng.top:8081/hls/60/index.m3u8
湖南金鹰卡通,http://pa.kuangdeng.top:8081/hls/61/index.m3u8
湖南金鹰纪实,http://pa.kuangdeng.top:8081/hls/72/index.m3u8
