


🇨🇳中央视频,#genre#

CCTV1,http://vip.lqcc.xyz:35455/mgtv/608807420.m3u8


CCTV2,http://vip.lqcc.xyz:35455/mgtv/631780532.m3u8


CCTV3,http://vip.lqcc.xyz:35455/mgtv/624878271.m3u8


CCTV4,http://vip.lqcc.xyz:35455/mgtv/631780421.m3u8


CCTV5,http://vip.lqcc.xyz:35455/mgtv/641886683.m3u8


CCTV5+,http://vip.lqcc.xyz:35455/mgtv/641886773.m3u8


CCTV6,http://vip.lqcc.xyz:35455/mgtv/624878396.m3u8


CCTV7,http://vip.lqcc.xyz:35455/mgtv/673168121.m3u8

CCTV8,http://vip.lqcc.xyz:35455/mgtv/624878356.m3u8


CCTV9.http://vip.lqcc.xyz:35455/mgtv/673168140.m3u8


CCTV10,http://vip.lqcc.xyz:35455/mgtv/624878405.m3u8


CCTV11,http://vip.lqcc.xyz:35455/mgtv/667987558.m3u8


CCTV12,http://vip.lqcc.xyz:35455/mgtv/673168185.m3u8


CCTV13,http://vip.lqcc.xyz:35455/mgtv/608807423.m3u8


CCTV14,http://vip.lqcc.xyz:35455/mgtv/624878440.m3u8


CCTV15,http://vip.lqcc.xyz:35455/mgtv/673168223.m3u8


CCTV16,http://vip.lqcc.xyz:35455/nptv/cctv16.m3u8


CCTV17,http://vip.lqcc.xyz:35455/mgtv/673168256.m3u8


CETV1,http://vip.lqcc.xyz:35455/mgtv/923287154.m3u8


CETV2,http://vip.lqcc.xyz:35455/mgtv/923287211.m3u8


CETV4,http://vip.lqcc.xyz:35455/mgtv/923287339.m3u8

🇨🇳卫视频道,#genre#

东方卫视,http://vip.lqcc.xyz:35455/mgtv/651632648.m3u8
江苏卫视,http://vip.lqcc.xyz:35455/mgtv/623899368.m3u8
江西卫视,http://vip.lqcc.xyz:35455/mgtv/783847495.m3u8
广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视
河南卫视,http://vip.lqcc.xyz:35455/mgtv/790187291.m3u8
陕西卫视,http://vip.lqcc.xyz:35455/mgtv/738910838.m3u8
大湾区卫视,http://vip.lqcc.xyz:35455/mgtv/608917627.m3u8
湖北卫视,http://vip.lqcc.xyz:35455/mgtv/947472496.m3u8
吉林卫视,http://vip.lqcc.xyz:35455/mgtv/947472500.m3u8
青海卫视,http://vip.lqcc.xyz:35455/mgtv/947472506.m3u8
海南卫视,http://vip.lqcc.xyz:35455/mgtv/947472502.m3u8
北京卫视,http://vip.lqcc.xyz:35455/nptv/beijing.m3u8
湖南卫视,http://vip.lqcc.xyz:35455/nptv/hunan.m3u8
浙江卫视,http://vip.lqcc.xyz:35455/nptv/zhejiang.m3u8
湖北卫视,http://vip.lqcc.xyz:35455/nptv/hubei.m3u8
天津卫视,http://vip.lqcc.xyz:35455/nptv/tianjing.m3u8
山东卫视,http://vip.lqcc.xyz:35455/nptv/shandong.m3u8
辽宁卫视,http://vip.lqcc.xyz:35455/nptv/liaoning.m3u8
安徽卫视,http://vip.lqcc.xyz:35455/nptv/anhui.m3u8
黑龙江卫视,http://vip.lqcc.xyz:35455/nptv/heilongjiang.m3u8
贵州卫视,http://vip.lqcc.xyz:35455/nptv/guizhou.m3u8
东南卫视,http://vip.lqcc.xyz:35455/nptv/dongnan.m3u8
重庆卫视,http://vip.lqcc.xyz:35455/nptv/chongqing.m3u8
河北卫视,http://vip.lqcc.xyz:35455/nptv/hebei.m3u8
深圳卫视,http://vip.lqcc.xyz:35455/nptv/shenzheng.m3u8
四川卫视,http://vip.lqcc.xyz:35455/nptv/sichuan.m3u8
广西卫视,http://vip.lqcc.xyz:35455/nptv/guangxi.m3u8
山西卫视,http://vip.lqcc.xyz:35455/nptv/shanxi.m3u8
内蒙古卫视,http://vip.lqcc.xyz:35455/nptv/neimenggu.m3u8
青海卫视,http://vip.lqcc.xyz:35455/nptv/qinghai.m3u8
宁夏卫视,http://vip.lqcc.xyz:35455/nptv/ningxia.m3u8
西藏卫视,http://vip.lqcc.xyz:35455/nptv/xizang.m3u8
新疆卫视,http://vip.lqcc.xyz:35455/nptv/xinjiang.m3u8
甘肃卫视,http://vip.lqcc.xyz:35455/nptv/gansu.m3u8
云南卫视,http://vip.lqcc.xyz:35455/nptv/yunnan.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
老故事,http://vip.lqcc.xyz:35455/mgtv/884121956.m3u8
发现之旅,http://vip.lqcc.xyz:35455/mgtv/624878970.m3u8
中学生,http://vip.lqcc.xyz:35455/mgtv/708869532.m3u8
CGTN,http://vip.lqcc.xyz:35455/mgtv/609017205.m3u8
CGTN记录,http://vip.lqcc.xyz:35455/mgtv/609006487.m3u8
CGTN阿语,http://vip.lqcc.xyz:35455/mgtv/609154345.m3u8
CGTN西语,http://vip.lqcc.xyz:35455/mgtv/609006450.m3u8
CGTN法语,http://vip.lqcc.xyz:35455/mgtv/609006476.m3u8
CGTN俄语,http://vip.lqcc.xyz:35455/mgtv/609006446.m3u8
CGTN阿语,http://vip.lqcc.xyz:35455/nptv/cgtnar.m3u8
CGTN纪录,http://vip.lqcc.xyz:35455/nptv/cgtndoc.m3u8

🇨🇳数字频道,#genre#
CCTV6电影,http://182.32.159.109:85/tsfile/live/0006_1.m3u8?key=txiptv

CHC影迷电影,http://vip.lqcc.xyz:35455/mgtv/952383261.m3u8
CHC动作电影,http://vip.lqcc.xyz:35455/mgtv/644368714.m3u8
CHC家庭影院,http://vip.lqcc.xyz:35455/mgtv/644368373.m3u8
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
翡翠台,http://cdn.jdshipin.com/jisu.php?id=fct
无线新闻,http://cdn.jdshipin.com/jisu.php?id=wxxw
凤凰中文,http://cdn.jdshipin.com/jisu.php?id=fhzw
凤凰资讯,http://cdn.jdshipin.com/jisu.php?id=fhzx
凤凰香港,http://cdn.jdshipin.com/jisu.php?id=fhxg
CCTV1,http://cdn.jdshipin.com/jisu.php?id=cctv1
CCTV2,http://cdn.jdshipin.com/jisu.php?id=cctv2
CCTV3,http://cdn.jdshipin.com/jisu.php?id=cctv3
CCTV4,http://cdn.jdshipin.com/jisu.php?id=cctv4
CCTV5,http://cdn.jdshipin.com/jisu.php?id=cctv5
CCTV5P,http://cdn.jdshipin.com/jisu.php?id=cctv5p
CCTV6,http://cdn.jdshipin.com/jisu.php?id=cctv6
CCTV7,http://cdn.jdshipin.com/jisu.php?id=cctv7
CCTV8,http://cdn.jdshipin.com/jisu.php?id=cctv8
CCTV9,http://cdn.jdshipin.com/jisu.php?id=cctv9
CCTV10,http://cdn.jdshipin.com/jisu.php?id=cctv10
CCTV11,http://cdn.jdshipin.com/jisu.php?id=cctv11
CCTV12,http://cdn.jdshipin.com/jisu.php?id=cctv12
CCTV13,http://cdn.jdshipin.com/jisu.php?id=cctv13
CCTV14,http://cdn.jdshipin.com/jisu.php?id=cctv14
CCTV15,http://cdn.jdshipin.com/jisu.php?id=cctv15
CCTV16,http://cdn.jdshipin.com/jisu.php?id=cctv16
CCTV17,http://cdn.jdshipin.com/jisu.php?id=cctv17
